index,matched_stances
0,['Support for gun ownership rights']
1,['Does not express any politically relevant opinion']
2,['Does not express any politically relevant opinion']
3,['Criticism of police and federal detainment practices as abuse of power']
4,['Criticism of Democrats or Liberals']
5,['Does not express any politically relevant opinion']
6,['Criticism of Local Government or Mayor']
7,['Does not express any politically relevant opinion']
8,[]
9,['Does not express any politically relevant opinion']
10,['Does not express any politically relevant opinion']
11,['Does not express any politically relevant opinion']
12,['Does not express any politically relevant opinion']
13,['Does not express any politically relevant opinion']
14,['Does not express any politically relevant opinion']
15,['Does not express any politically relevant opinion']
16,[]
17,"['Criticism of high taxes for government involvement', 'Criticism of Local Government or Mayor']"
18,['Does not express any politically relevant opinion']
19,['Criticism of police and federal detainment practices as abuse of power']
20,['Does not express any politically relevant opinion']
21,['Does not express any politically relevant opinion']
22,['Criticism of Local Government or Mayor']
23,['Does not express any politically relevant opinion']
24,['Does not express any politically relevant opinion']
25,['Does not express any politically relevant opinion']
26,[]
27,['Does not express any politically relevant opinion']
28,['Does not express any politically relevant opinion']
29,['Does not express any politically relevant opinion']
30,['Does not express any politically relevant opinion']
31,[]
32,['Does not express any politically relevant opinion']
33,['Does not express any politically relevant opinion']
34,['Does not express any politically relevant opinion']
35,['Does not express any politically relevant opinion']
36,"['Support for renewable energy and climate action', 'Criticism of Local Government or Mayor']"
37,['Criticism of climate change policies as economically harmful']
38,['Does not express any politically relevant opinion']
39,['Does not express any politically relevant opinion']
40,['Does not express any politically relevant opinion']
41,['Does not express any politically relevant opinion']
42,['Does not express any politically relevant opinion']
43,['Does not express any politically relevant opinion']
44,['Does not express any politically relevant opinion']
45,['Praise for Local Government or Mayor']
46,['Does not express any politically relevant opinion']
47,['Does not express any politically relevant opinion']
48,['Does not express any politically relevant opinion']
49,['Does not express any politically relevant opinion']
50,['Does not express any politically relevant opinion']
51,['Does not express any politically relevant opinion']
52,['Does not express any politically relevant opinion']
53,['Opposition to LGBTQ+ rights and same-sex marriage']
54,['Does not express any politically relevant opinion']
55,['Criticism of police and federal detainment practices as abuse of power']
56,['Does not express any politically relevant opinion']
57,[]
